place_id,review_type,1st_topic,2nd_topic,3rd_topic,name,region
ChIJ-x0yX5gt_kcRz9tbnV7qPJg,negatif,prise en charge d'urgence 2,prise en charge d'urgence 1,examen et consultation,centre hospitalier camille claudel,Nouvelle-Aquitaine
ChIJ-x0yX5gt_kcRz9tbnV7qPJg,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,examen et consultation,centre hospitalier camille claudel,Nouvelle-Aquitaine
ChIJ04VSWevV_EcREK8gRSD2yFg,negatif,attente,personnel désagréable,examen et consultation,chru hôpitaux de tours,Centre-Val de Loire
ChIJ04VSWevV_EcREK8gRSD2yFg,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chru hôpitaux de tours,Centre-Val de Loire
ChIJ06bynH7C9EcRIR7KR0X3JD4,negatif,attente,mauvaise expérience,personnel désagréable,groupe hospitalier les portes du sud,Auvergne-Rhône-Alpes
ChIJ06bynH7C9EcRIR7KR0X3JD4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,groupe hospitalier les portes du sud,Auvergne-Rhône-Alpes
ChIJ0RNXzBcsrhIRkvg9K7VTVhg,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,centre hospitalier de carcassonne - camsp,Occitanie
ChIJ0_TSR4ar9UcRrTGj6FJa4J0,negatif,mauvaise expérience,attente,examen et consultation,chu nord saint-étienne,Auvergne-Rhône-Alpes
ChIJ0_TSR4ar9UcRrTGj6FJa4J0,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chu nord saint-étienne,Auvergne-Rhône-Alpes
ChIJ0ckTJnu7rhIRlWXLRRimxZE,negatif,attente,personnel désagréable,personnel agréable et à l'écoute,hôtel-dieu saint-jacques,Occitanie
ChIJ0ckTJnu7rhIRlWXLRRimxZE,positif,locaux et accès,professionnalisme,personnel agréable et à l'écoute,hôtel-dieu saint-jacques,Occitanie
ChIJ1U2fErqeVA0RvoPdMj3sllE,negatif,attente,examen et consultation,prise en charge d'urgence 2,centre hospitalier d'arcachon,Nouvelle-Aquitaine
ChIJ1U2fErqeVA0RvoPdMj3sllE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier d'arcachon,Nouvelle-Aquitaine
ChIJ1UCV-BxLshIRzUx5vB9PNSU,negatif,examen et consultation,mauvaise expérience,professionnalisme,centre hospitalier de millau,Occitanie
ChIJ1UCV-BxLshIRzUx5vB9PNSU,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,maternité,centre hospitalier de millau,Occitanie
ChIJ1d3smcUOAEgRm5kSrTpGiRw,negatif,personnel désagréable,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier de boscamnant,Nouvelle-Aquitaine
ChIJ1d3smcUOAEgRm5kSrTpGiRw,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,centre hospitalier de boscamnant,Nouvelle-Aquitaine
ChIJ1f3uCcd9shIRfQYwfjlHsuw,negatif,prise en charge d'urgence 2,attente,locaux et accès,centre hospitalier les peyrières,Occitanie
ChIJ1wdnHC5JVQ0R9D3BtoQrUks,negatif,prise en charge d'urgence 1,mauvaise expérience,prise en charge d'urgence 2,centre hospitalier de garderose,Nouvelle-Aquitaine
ChIJ1xu69n67FkgRpJD11Een94s,negatif,personnel désagréable,examen et consultation,prise en charge d'urgence 1,hôpital de bohars,Bretagne
ChIJ1xu69n67FkgRpJD11Een94s,positif,prise en charge d'urgence 2,professionnalisme,examen et consultation,hôpital de bohars,Bretagne
ChIJ20M5q3HZ-kcRtKURyhsM1Lg,negatif,attente,examen et consultation,maternité,centre hospitalier de vierzon,Centre-Val de Loire
ChIJ20M5q3HZ-kcRtKURyhsM1Lg,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier de vierzon,Centre-Val de Loire
ChIJ22LuTNybVA0RO0DXVklyXSo,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,locaux et accès,centre hospitalier d'arcachon service des urgences,Nouvelle-Aquitaine
ChIJ2TgsRJxarhIRGb_MI3QsCXE,negatif,attente,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier jean-pierre cassabel,Occitanie
ChIJ2TgsRJxarhIRGb_MI3QsCXE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier jean-pierre cassabel,Occitanie
ChIJ2YasZDGdqRIRvwIRFFkhCA8,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier d'auch,Occitanie
ChIJ2YasZDGdqRIRvwIRFFkhCA8,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier d'auch,Occitanie
ChIJ2yKWGsErEkgRhqZVqwzi-Mw,negatif,examen et consultation,attente,personnel désagréable,centre hospitalier lannion-trestel,Bretagne
ChIJ2yKWGsErEkgRhqZVqwzi-Mw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier lannion-trestel,Bretagne
ChIJ30A4TBwk1xIR4238-GRJ94g,negatif,professionnalisme,mauvaise expérience,personnel désagréable,brasserie de l'hôpital,Corse
ChIJ30A4TBwk1xIR4238-GRJ94g,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,brasserie de l'hôpital,Corse
ChIJ31faIotR80cRaupj9pPao18,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier de bourg-en-bresse / fleyriat,Auvergne-Rhône-Alpes
ChIJ31faIotR80cRaupj9pPao18,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de bourg-en-bresse / fleyriat,Auvergne-Rhône-Alpes
ChIJ34zFHLrAD0gRRjmmswZRWKs,positif,professionnalisme,personnel agréable et à l'écoute,mauvaise expérience,ehpad de malestroit,Bretagne
ChIJ39SVWaZF8EcR9ueyJkQpVDA,negatif,examen et consultation,attente,mauvaise expérience,hôpital pierre-beregovoy,Bourgogne-Franche-Comté
ChIJ39SVWaZF8EcR9ueyJkQpVDA,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital pierre-beregovoy,Bourgogne-Franche-Comté
ChIJ3R4joMwvDkgR1JCknlOs_lQ,negatif,prise en charge d'urgence 2,mauvaise expérience,examen et consultation,centre hospitalier du centre bretagne (chcb),Bretagne
ChIJ3R4joMwvDkgR1JCknlOs_lQ,positif,personnel agréable et à l'écoute,examen et consultation,professionnalisme,centre hospitalier du centre bretagne (chcb),Bretagne
ChIJ3RVa1gUdDkgRvxCNPJ1tizM,negatif,attente,examen et consultation,mauvaise expérience,hôpital de la cavale blanche,Bretagne
ChIJ3RVa1gUdDkgRvxCNPJ1tizM,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital de la cavale blanche,Bretagne
ChIJ3VoDnWIk1xIRbC-AVBFgOeE,negatif,prise en charge d'urgence 2,personnel désagréable,locaux et accès,hospitalisation à domicile de corse,Corse
ChIJ3VoDnWIk1xIRbC-AVBFgOeE,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hospitalisation à domicile de corse,Corse
ChIJ3cnKCdUWrRIRFuIZjiuBec4,negatif,mauvaise expérience,attente,personnel désagréable,centre hospitalier de figeac,Occitanie
ChIJ3cnKCdUWrRIRFuIZjiuBec4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de figeac,Occitanie
ChIJ4T_h6ej65UcR_mOmRYePBjI,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de melun,Île-de-France
ChIJ4T_h6ej65UcR_mOmRYePBjI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier de melun,Île-de-France
ChIJ4_GvnRcWyhIR55LZMG3bsAI,negatif,personnel désagréable,prise en charge d'urgence 2,mauvaise expérience,"centre hospitalier du pays d'apt, services d'urgences",Provence-Alpes-Côte d'Azur
ChIJ4_GvnRcWyhIR55LZMG3bsAI,positif,personnel agréable et à l'écoute,examen et consultation,maternité,"centre hospitalier du pays d'apt, services d'urgences",Provence-Alpes-Côte d'Azur
ChIJ4xJ5yE7BFkgRgneBbzk4QiM,negatif,professionnalisme,mauvaise expérience,attente,hôpital de la presqu'île de crozon,Bretagne
ChIJ4xJ5yE7BFkgRgneBbzk4QiM,positif,attente,prise en charge d'urgence 1,personnel agréable et à l'écoute,hôpital de la presqu'île de crozon,Bretagne
ChIJ52TkG5OrFkgRihwKVHOsXTk,negatif,mauvaise expérience,attente,personnel désagréable,centre de jour ty guen,Bretagne
ChIJ5YIhowjeDkgRKIhB1luQrUg,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier privé saint-grégoire,Bretagne
ChIJ5YIhowjeDkgRKIhB1luQrUg,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier privé saint-grégoire,Bretagne
ChIJ5ab3ZDJB9kcRQmgpOlilRHM,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier de brioude,Auvergne-Rhône-Alpes
ChIJ5ab3ZDJB9kcRQmgpOlilRHM,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier de brioude,Auvergne-Rhône-Alpes
ChIJ5bFAAGAHBEgR0CDPWoDiUig,negatif,prise en charge d'urgence 1,mauvaise expérience,professionnalisme,hôpital saint-honoré - ile de ré - groupe hospitalier de la rochelle-ré-aunis,Nouvelle-Aquitaine
ChIJ5bFAAGAHBEgR0CDPWoDiUig,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,attente,hôpital saint-honoré - ile de ré - groupe hospitalier de la rochelle-ré-aunis,Nouvelle-Aquitaine
ChIJ5dfGBlPnDkgRbJbJNx8lZtk,positif,personnel agréable et à l'écoute,prise en charge d'urgence 1,attente,diwall (centre médico-psychologique),Bretagne
ChIJ5fiAB_1_5EcR53Mx77ZOSa0,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier,Centre-Val de Loire
ChIJ5fiAB_1_5EcR53Mx77ZOSa0,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier,Centre-Val de Loire
ChIJ5flzHjPID0gRDgM3Kz8aQKc,negatif,attente,prise en charge d'urgence 2,examen et consultation,centre hospitalier alphonse guérin,Bretagne
ChIJ5flzHjPID0gRDgM3Kz8aQKc,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier alphonse guérin,Bretagne
ChIJ5w9i5_myqxIRHbJT7ORT-Xo,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier agen-nérac (site d’agen),Nouvelle-Aquitaine
ChIJ5w9i5_myqxIRHbJT7ORT-Xo,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,centre hospitalier agen-nérac (site d’agen),Nouvelle-Aquitaine
ChIJ5yNAqXR-shIR9r649n8aCLI,negatif,mauvaise expérience,attente,prise en charge d'urgence 2,centre hospitalier sainte-marie rodez,Occitanie
ChIJ5yNAqXR-shIR9r649n8aCLI,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier sainte-marie rodez,Occitanie
ChIJ62xIDt7MEUgR8-ORrroHy9Q,negatif,personnel désagréable,mauvaise expérience,examen et consultation,centre médico-psychologique (cmp),Bretagne
ChIJ62xIDt7MEUgR8-ORrroHy9Q,positif,personnel agréable et à l'écoute,personnel désagréable,prise en charge d'urgence 2,centre médico-psychologique (cmp),Bretagne
ChIJ63RvdqqzFkgROr2xPqKtDIA,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier ferdinand grall,Bretagne
ChIJ63RvdqqzFkgROr2xPqKtDIA,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,centre hospitalier ferdinand grall,Bretagne
ChIJ68BZkJKcGkgRvzCgwOejizU,negatif,prise en charge d'urgence 1,mauvaise expérience,locaux et accès,centre hospitalier yves lanco,Bretagne
ChIJ68BZkJKcGkgRvzCgwOejizU,positif,personnel agréable et à l'écoute,attente,examen et consultation,centre hospitalier yves lanco,Bretagne
ChIJ6RaBoxOe8kcRX5HeTvTXyH8,negatif,attente,mauvaise expérience,prise en charge d'urgence 2,centre hospitalier universitaire dijon bourgogne,Bourgogne-Franche-Comté
ChIJ6RaBoxOe8kcRX5HeTvTXyH8,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier universitaire dijon bourgogne,Bourgogne-Franche-Comté
ChIJ6RwvB1xeEEgRcKQZ9XmvSeI,negatif,attente,examen et consultation,personnel désagréable,hôpital du scorff,Bretagne
ChIJ6RwvB1xeEEgRcKQZ9XmvSeI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital du scorff,Bretagne
ChIJ6UyE1SnqzRIRJRPke1PSxcw,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier la palmosa - menton,Provence-Alpes-Côte d'Azur
ChIJ6UyE1SnqzRIRJRPke1PSxcw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier la palmosa - menton,Provence-Alpes-Côte d'Azur
ChIJ6c5NmyBP7kcRzBwWy0lqNVg,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier d’auxerre,Bourgogne-Franche-Comté
ChIJ6c5NmyBP7kcRzBwWy0lqNVg,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier d’auxerre,Bourgogne-Franche-Comté
ChIJ6dxV08mSVg0RW_7YYYSbsG8,negatif,attente,prise en charge d'urgence 1,examen et consultation,centre hospitalier d'orthez,Nouvelle-Aquitaine
ChIJ6dxV08mSVg0RW_7YYYSbsG8,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier d'orthez,Nouvelle-Aquitaine
ChIJ6xImL0AnyhIRnTJvQYl7Qis,negatif,examen et consultation,attente,mauvaise expérience,chi aix-pertuis - hôpital de pertuis,Provence-Alpes-Côte d'Azur
ChIJ6xImL0AnyhIRnTJvQYl7Qis,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,chi aix-pertuis - hôpital de pertuis,Provence-Alpes-Côte d'Azur
ChIJ75Xres9AAUgRbzxy39Hqsog,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de rochefort,Nouvelle-Aquitaine
ChIJ75Xres9AAUgRbzxy39Hqsog,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de rochefort,Nouvelle-Aquitaine
ChIJ772SHWNAUQ0RaZOkIwGDHmo,negatif,attente,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier côte basque - foyer lormand,Nouvelle-Aquitaine
ChIJ7XperRCcD0gRO-z_lfAHB4c,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier intercommunal redon-carentoir,Bretagne
ChIJ7XperRCcD0gRO-z_lfAHB4c,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier intercommunal redon-carentoir,Bretagne
ChIJ7e-Jlgp3AUgRhf-e699e5K0,negatif,attente,examen et consultation,prise en charge d'urgence 1,centre hospitalier royan atlantique,Nouvelle-Aquitaine
ChIJ7e-Jlgp3AUgRhf-e699e5K0,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier royan atlantique,Nouvelle-Aquitaine
ChIJ81UWVajuBUgRDvpY7iXEYRw,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier universitaire de nantes,Pays de la Loire
ChIJ81UWVajuBUgRDvpY7iXEYRw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier universitaire de nantes,Pays de la Loire
ChIJ82gvDUbFzRIRZsu_5REAAdQ,negatif,personnel désagréable,mauvaise expérience,examen et consultation,pasteur 2,Provence-Alpes-Côte d'Azur
ChIJ82gvDUbFzRIRZsu_5REAAdQ,positif,professionnalisme,personnel agréable et à l'écoute,examen et consultation,pasteur 2,Provence-Alpes-Côte d'Azur
ChIJ832oTjDzEUgREd0SgFPHDUQ,negatif,examen et consultation,mauvaise expérience,attente,centre hospitalier de guingamp,Bretagne
ChIJ832oTjDzEUgREd0SgFPHDUQ,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier de guingamp,Bretagne
ChIJ848tZOK7FkgR8LCIxUDrAtU,negatif,attente,personnel désagréable,prise en charge d'urgence 2,"centre hospitalier régional universitaire, service d'urgences",Bretagne
ChIJ848tZOK7FkgR8LCIxUDrAtU,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,"centre hospitalier régional universitaire, service d'urgences",Bretagne
ChIJ84uuXPe7FkgRWkvWaCvv11k,negatif,locaux et accès,mauvaise expérience,personnel désagréable,hôpital de jour langevin,Bretagne
ChIJ89J5uDeCDkgR5M7h8WtJO9s,positif,personnel agréable et à l'écoute,locaux et accès,personnel désagréable,ehpad de la haize,Bretagne
ChIJ8SUsS7OA9kcRy2Z3lkG0BUE,negatif,attente,prise en charge d'urgence 2,prise en charge d'urgence 1,centre hospitalier d'ambert,Auvergne-Rhône-Alpes
ChIJ8SUsS7OA9kcRy2Z3lkG0BUE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier d'ambert,Auvergne-Rhône-Alpes
ChIJ8Viqqh3RVQ0R3PSkfR60cHY,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier intercommunal mont-de-marsan - pays des sources (site layné),Nouvelle-Aquitaine
ChIJ8Viqqh3RVQ0R3PSkfR60cHY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier intercommunal mont-de-marsan - pays des sources (site layné),Nouvelle-Aquitaine
ChIJ8YhKYfNbAEgRRzQOEmEpH3U,positif,professionnalisme,personnel agréable et à l'écoute,prise en charge d'urgence 2,centre hospitalier de jonzac - clinique de la dépression,Nouvelle-Aquitaine
ChIJ8ZpjLU_q9EcRqgxGvQKu4f4,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier saint joseph saint luc,Auvergne-Rhône-Alpes
ChIJ8ZpjLU_q9EcRqgxGvQKu4f4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier saint joseph saint luc,Auvergne-Rhône-Alpes
ChIJ8d9Ew9K7FkgRsE2eq5MG18I,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre psychothérapeutique winnicott,Bretagne
ChIJ8edU6iEOsRIRSSCZ981VFDU,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de béziers,Occitanie
ChIJ8edU6iEOsRIRSSCZ981VFDU,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de béziers,Occitanie
ChIJ8xRfHD6KDkgRDX7zhapr8to,negatif,prise en charge d'urgence 1,personnel désagréable,attente,centre hospitalier de dinan service des urgences,Bretagne
ChIJ9-Sklc4xB0gRqYP8K6Q-VGs,negatif,attente,personnel désagréable,examen et consultation,centre hospitalier de niort,Nouvelle-Aquitaine
ChIJ9-Sklc4xB0gRqYP8K6Q-VGs,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de niort,Nouvelle-Aquitaine
ChIJ95ouIGeJrBIRIIsJiEOmgoc,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de cahors service des urgences,Occitanie
ChIJ95ouIGeJrBIRIIsJiEOmgoc,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,attente,centre hospitalier de cahors service des urgences,Occitanie
ChIJ9Q_zJDHcAEgR1kundqnRWPQ,negatif,attente,prise en charge d'urgence 1,mauvaise expérience,centre hospitalier de saint jean d'angely,Nouvelle-Aquitaine
ChIJ9Q_zJDHcAEgR1kundqnRWPQ,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de saint jean d'angely,Nouvelle-Aquitaine
ChIJ9UgBb1heEEgR89bUmOgmJBk,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre d'addictologie,Bretagne
ChIJ9UvGS7qADkgR6-0AMP2X6lQ,negatif,personnel désagréable,locaux et accès,personnel agréable et à l'écoute,fondation partage et vie - hôpital arthur gardiner - dinard,Bretagne
ChIJ9UvGS7qADkgR6-0AMP2X6lQ,positif,professionnalisme,personnel agréable et à l'écoute,mauvaise expérience,fondation partage et vie - hôpital arthur gardiner - dinard,Bretagne
ChIJ9XgVJeKLrBIR78XrXKtpOno,negatif,mauvaise expérience,prise en charge d'urgence 2,personnel agréable et à l'écoute,institut camille miret,Occitanie
ChIJ9agO1mnr0BIR4zcNbI_IG30,negatif,attente,examen et consultation,prise en charge d'urgence 2,centre hospitalier calvi balagne,Corse
ChIJ9agO1mnr0BIR4zcNbI_IG30,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier calvi balagne,Corse
ChIJ9bfyMqiC9EcRL6D3VunSCCY,negatif,mauvaise expérience,examen et consultation,prise en charge d'urgence 2,centre hospitalier de belleville,Auvergne-Rhône-Alpes
ChIJ9bfyMqiC9EcRL6D3VunSCCY,positif,personnel agréable et à l'écoute,examen et consultation,mauvaise expérience,centre hospitalier de belleville,Auvergne-Rhône-Alpes
ChIJ9dXI2gYt_kcRxZn6fNqgFfI,negatif,attente,personnel désagréable,examen et consultation,centre hospitalier d'angoulême service des urgences,Nouvelle-Aquitaine
ChIJ9dXI2gYt_kcRxZn6fNqgFfI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier d'angoulême service des urgences,Nouvelle-Aquitaine
ChIJ9fLvYA7OqBIRcZC7vXhULxc,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier ariège couserans,Occitanie
ChIJ9fLvYA7OqBIRcZC7vXhULxc,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier ariège couserans,Occitanie
ChIJ9zh2teg6tRIRHXBS8UqHlEc,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de privas ardèche,Auvergne-Rhône-Alpes
ChIJ9zh2teg6tRIRHXBS8UqHlEc,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de privas ardèche,Auvergne-Rhône-Alpes
ChIJA1KgUidZikcRjFvYjdT9lOQ,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier universitaire,Auvergne-Rhône-Alpes
ChIJA1KgUidZikcRjFvYjdT9lOQ,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier universitaire,Auvergne-Rhône-Alpes
ChIJA2ZfsjrSrRIRuJqK8FSNYE4,negatif,locaux et accès,professionnalisme,personnel désagréable,centre hospitalier,Occitanie
ChIJA2ZfsjrSrRIRuJqK8FSNYE4,positif,professionnalisme,personnel agréable et à l'écoute,prise en charge d'urgence 2,centre hospitalier,Occitanie
ChIJA4ovYzfbEEgRCOdC9Kv3hro,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de cornouaille quimper concarneau,Bretagne
ChIJA4ovYzfbEEgRCOdC9Kv3hro,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de cornouaille quimper concarneau,Bretagne
ChIJA5U52X4hyRIRsnPH3SGnz2k,negatif,prise en charge d'urgence 1,personnel désagréable,examen et consultation,hôpital san salvadour ap-hp,Provence-Alpes-Côte d'Azur
ChIJA5U52X4hyRIRsnPH3SGnz2k,positif,personnel agréable et à l'écoute,professionnalisme,locaux et accès,hôpital san salvadour ap-hp,Provence-Alpes-Côte d'Azur
ChIJA6NjEHSMrBIRbFZFcl2snmk,negatif,prise en charge d'urgence 2,professionnalisme,prise en charge d'urgence 1,centre hospitalier,Occitanie
ChIJAQAvxeLQVQ0RxnITVFdWHq0,negatif,attente,examen et consultation,prise en charge d'urgence 2,"centre hospitalier de mont-de-marsan site layné, service des urgences",Nouvelle-Aquitaine
ChIJAQAvxeLQVQ0RxnITVFdWHq0,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,"centre hospitalier de mont-de-marsan site layné, service des urgences",Nouvelle-Aquitaine
ChIJAUVBPlXkikcRwTfcEEjCyTY,negatif,mauvaise expérience,examen et consultation,attente,hôpital de voiron,Auvergne-Rhône-Alpes
ChIJAUVBPlXkikcRwTfcEEjCyTY,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital de voiron,Auvergne-Rhône-Alpes
ChIJAY-SlGzZVA0RFJaI7wpK9Ic,negatif,prise en charge d'urgence 2,attente,prise en charge d'urgence 1,centre de gérontologie clinique - hôpital xavier arnozan - groupe hospitalier sud - chu de bordeaux,Nouvelle-Aquitaine
ChIJAY-SlGzZVA0RFJaI7wpK9Ic,positif,professionnalisme,personnel agréable et à l'écoute,prise en charge d'urgence 2,centre de gérontologie clinique - hôpital xavier arnozan - groupe hospitalier sud - chu de bordeaux,Nouvelle-Aquitaine
